name,stra.13321,stra.13442,stra.13453,stra.13563,stra.13684,stra.14642,stra.14153
0,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05
1,7.64E-05,7.59E-05,7.26E-05,7.51E-05,7.42E-05,6.79E-05,6.18E-05
2,8.45E-05,8.33E-05,7.64E-05,8.16E-05,7.95E-05,6.76E-05,5.56E-05
3,9.22E-05,9.02E-05,7.96E-05,8.74E-05,8.40E-05,6.73E-05,4.98E-05
4,9.92E-05,9.63E-05,8.21E-05,9.23E-05,8.76E-05,6.70E-05,4.43E-05
5,0.000105416,0.000101518,8.38E-05,9.62E-05,8.99E-05,6.67E-05,3.92E-05
6,0.000110517,0.000105558,8.47E-05,9.88E-05,9.10E-05,6.65E-05,3.45E-05
7,0.000114391,0.000108341,8.48E-05,0.000100164,9.09E-05,6.63E-05,3.02E-05
8,0.000116957,0.000109823,8.40E-05,0.000100269,8.96E-05,6.62E-05,2.63E-05
9,0.000118203,0.000110026,8.25E-05,9.92E-05,8.72E-05,6.61E-05,2.28E-05
10,0.000118174,0.000109026,8.03E-05,9.70E-05,8.39E-05,6.60E-05,1.97E-05
11,0.000116964,0.000106947,7.76E-05,9.39E-05,7.99E-05,6.61E-05,1.69E-05
12,0.000114703,0.000103936,7.43E-05,9.00E-05,7.53E-05,6.62E-05,1.45E-05
13,0.00011154,0.00010016,7.08E-05,8.56E-05,7.04E-05,6.64E-05,1.24E-05
14,0.000107637,9.58E-05,6.70E-05,8.07E-05,6.53E-05,6.67E-05,1.05E-05
15,0.000103152,9.10E-05,6.30E-05,7.56E-05,6.01E-05,6.71E-05,8.93E-06
16,9.82E-05,8.59E-05,5.90E-05,7.04E-05,5.50E-05,6.77E-05,7.57E-06
17,9.30E-05,8.06E-05,5.50E-05,6.52E-05,5.00E-05,6.84E-05,6.40E-06
18,8.77E-05,7.53E-05,5.10E-05,6.01E-05,4.53E-05,6.93E-05,5.41E-06
19,8.23E-05,7.01E-05,4.72E-05,5.51E-05,4.08E-05,7.03E-05,4.57E-06
20,7.69E-05,6.50E-05,4.35E-05,5.04E-05,3.67E-05,7.16E-05,3.87E-06
21,7.17E-05,6.01E-05,4.01E-05,4.60E-05,3.29E-05,7.31E-05,3.27E-06
22,6.66E-05,5.54E-05,3.68E-05,4.19E-05,2.94E-05,7.48E-05,2.77E-06
23,6.18E-05,5.10E-05,3.38E-05,3.81E-05,2.63E-05,7.69E-05,2.36E-06
24,5.72E-05,4.69E-05,3.10E-05,3.46E-05,2.35E-05,7.92E-05,2.01E-06
25,5.29E-05,4.32E-05,2.84E-05,3.14E-05,2.10E-05,8.19E-05,1.72E-06
26,4.89E-05,3.97E-05,2.61E-05,2.86E-05,1.88E-05,8.50E-05,1.47E-06
27,4.53E-05,3.65E-05,2.40E-05,2.60E-05,1.68E-05,8.85E-05,1.27E-06
28,4.19E-05,3.37E-05,2.21E-05,2.37E-05,1.51E-05,9.25E-05,1.10E-06
29,3.88E-05,3.11E-05,2.04E-05,2.16E-05,1.36E-05,9.69E-05,9.64E-07
30,3.61E-05,2.88E-05,1.89E-05,1.99E-05,1.23E-05,1.02E-04,8.48E-07
31,3.36E-05,2.67E-05,1.75E-05,1.83E-05,1.11E-05,1.08E-04,7.52E-07
32,3.13E-05,2.49E-05,1.64E-05,1.69E-05,1.02E-05,1.14E-04,6.72E-07
33,2.94E-05,2.34E-05,1.54E-05,1.57E-05,9.33E-06,1.22E-04,6.06E-07
34,2.77E-05,2.20E-05,1.45E-05,1.47E-05,8.63E-06,1.30E-04,5.53E-07
35,2.62E-05,2.09E-05,1.38E-05,1.39E-05,8.05E-06,1.39E-04,5.10E-07
36,2.50E-05,2.00E-05,1.32E-05,1.32E-05,7.58E-06,1.50E-04,4.76E-07
37,2.40E-05,1.93E-05,1.28E-05,1.27E-05,7.21E-06,1.62E-04,4.50E-07
38,2.32E-05,1.88E-05,1.25E-05,1.23E-05,6.94E-06,1.77E-04,4.31E-07
39,2.27E-05,1.85E-05,1.24E-05,1.21E-05,6.77E-06,1.93E-04,4.21E-07
40,2.25E-05,1.84E-05,1.24E-05,1.21E-05,6.69E-06,2.12E-04,4.17E-07
41,2.25E-05,1.86E-05,1.26E-05,1.22E-05,6.73E-06,2.33E-04,4.22E-07
42,2.28E-05,1.91E-05,1.30E-05,1.25E-05,6.89E-06,2.59E-04,4.35E-07
43,2.35E-05,2.00E-05,1.37E-05,1.31E-05,7.20E-06,2.89E-04,4.59E-07
44,2.47E-05,2.12E-05,1.47E-05,1.40E-05,7.68E-06,3.23E-04,4.97E-07
45,2.63E-05,2.30E-05,1.61E-05,1.53E-05,8.38E-06,3.64E-04,5.50E-07
46,2.87E-05,2.55E-05,1.80E-05,1.71E-05,9.36E-06,4.12E-04,6.26E-07
47,3.18E-05,2.89E-05,2.05E-05,1.96E-05,1.07E-05,4.68E-04,7.29E-07
48,3.58E-05,3.33E-05,2.39E-05,2.28E-05,1.25E-05,5.30E-04,8.71E-07
49,4.10E-05,3.90E-05,2.83E-05,2.70E-05,1.49E-05,5.99E-04,1.06E-06
50,4.73E-05,4.62E-05,3.38E-05,3.24E-05,1.80E-05,6.71E-04,1.31E-06
51,5.47E-05,5.49E-05,4.05E-05,3.90E-05,2.18E-05,7.39E-04,1.62E-06
52,6.30E-05,6.48E-05,4.83E-05,4.67E-05,2.63E-05,7.99E-04,2.00E-06
53,7.17E-05,7.57E-05,5.70E-05,5.54E-05,3.14E-05,8.43E-04,2.44E-06
54,8.04E-05,8.71E-05,6.62E-05,6.46E-05,3.69E-05,8.69E-04,2.92E-06
55,8.87E-05,9.85E-05,7.56E-05,7.41E-05,4.27E-05,8.77E-04,3.44E-06
56,9.64E-05,0.000109688,8.48E-05,8.36E-05,4.85E-05,8.69E-04,3.98E-06
57,0.000103381,0.000120425,9.39E-05,9.30E-05,5.44E-05,8.50E-04,4.54E-06
58,0.000109745,0.000130707,0.000102714,0.000102189,6.02E-05,8.23E-04,5.10E-06
59,0.000115531,0.00014055,0.000111262,0.00011121,6.59E-05,7.91E-04,5.68E-06
60,0.000120814,0.000150001,0.000119577,0.000120064,7.17E-05,7.57E-04,6.26E-06
61,0.000125665,0.000159103,0.000127686,0.000128773,7.74E-05,7.22E-04,6.84E-06
62,0.00013014,0.0001679,0.000135615,0.00013736,8.30E-05,6.88E-04,7.44E-06
63,0.000134285,0.000176421,0.000143384,0.000145842,8.87E-05,6.54E-04,8.05E-06
64,0.000138134,0.000184693,0.000151008,0.000154231,9.44E-05,6.21E-04,8.67E-06
65,0.000141715,0.000192733,0.000158498,0.000162537,0.000100016,5.90E-04,9.30E-06
66,0.000145049,0.000200554,0.00016586,0.000170765,0.00010568,5.60E-04,9.94E-06
67,0.000148153,0.000208167,0.0001731,0.000178919,0.000111348,5.31E-04,1.06E-05
68,0.000151042,0.000215578,0.000180221,0.000187,0.00011702,5.04E-04,1.13E-05
69,0.000153727,0.000222793,0.000187225,0.00019501,0.000122697,4.79E-04,1.19E-05
70,0.00015622,0.000229817,0.000194112,0.000202948,0.000128377,4.54E-04,1.26E-05
71,0.000158529,0.000236654,0.000200885,0.000210815,0.00013406,4.31E-04,1.33E-05
72,0.000160665,0.000243308,0.000207543,0.000218608,0.000139745,4.10E-04,1.40E-05
73,0.000162635,0.000249781,0.000214087,0.000226329,0.000145431,3.89E-04,1.47E-05
74,0.000164447,0.000256078,0.000220517,0.000233975,0.000151116,3.70E-04,1.55E-05
75,0.000166108,0.0002622,0.000226835,0.000241547,0.0001568,3.52E-04,1.62E-05
76,0.000167626,0.000268152,0.000233041,0.000249044,0.000162481,3.34E-04,1.70E-05
77,0.000169006,0.000273936,0.000239135,0.000256464,0.000168159,3.18E-04,1.77E-05
78,0.000170256,0.000279556,0.000245118,0.000263808,0.000173832,3.03E-04,1.85E-05
79,0.00017138,0.000285013,0.00025099,0.000271075,0.000179499,2.88E-04,1.93E-05
80,0.000172386,0.000290312,0.000256754,0.000278265,0.000185159,2.74E-04,2.01E-05
81,0.000173278,0.000295455,0.000262409,0.000285377,0.000190812,2.61E-04,2.09E-05
82,0.000174061,0.000300445,0.000267957,0.000292411,0.000196456,2.49E-04,2.18E-05
83,0.000174742,0.000305285,0.000273398,0.000299367,0.000202091,2.37E-04,2.26E-05
84,0.000175323,0.000309979,0.000278735,0.000306245,0.000207716,2.26E-04,2.34E-05
